    GET     /navigate/directions/v5/gh/{profile}/{coordinatesArray : .+} (com.graphhopper.navigation.NavigateResource)
    GET     /nearest (com.graphhopper.resources.NearestResource)
    GET     /route (com.graphhopper.resources.RouteResource)
    POST    /route (com.graphhopper.resources.RouteResource)
    GET     /spt (com.graphhopper.resources.SPTResource)

2025-07-28 19:26:06.703 [main] INFO  o.e.j.server.handler.ContextHandler - Started i.d.j.MutableServletContextHandler@3b11620a{/,null,AVAILABLE}
2025-07-28 19:26:06.710 [main] INFO  i.d.core.setup.AdminEnvironment - tasks = 

    POST    /tasks/log-level (io.dropwizard.servlets.tasks.LogConfigurationTask)
    POST    /tasks/gc (io.dropwizard.servlets.tasks.GarbageCollectionTask)

2025-07-28 19:26:06.711 [main] INFO  o.e.j.server.handler.ContextHandler - Started i.d.j.MutableServletContextHandler@15d114ce{/,null,AVAILABLE}
2025-07-28 19:26:06.767 [main] INFO  o.e.jetty.server.AbstractConnector - Started application@33d53216{HTTP/1.1, (http/1.1)}{localhost:8989}
2025-07-28 19:26:06.775 [main] INFO  o.e.jetty.server.AbstractConnector - Started admin@69a2b3b6{HTTP/1.1, (http/1.1)}{0.0.0.0:8990}
2025-07-28 19:26:06.776 [main] INFO  org.eclipse.jetty.server.Server - Started Server@13da7ab0{STARTING}[10.0.23,sto=30000] @2727ms
2025-07-28 19:26:07.190 [pool-3-thread-18 - GET /route?point=49.33,-123.03&point=49.25,-122.97&instructions=true&type=json&key=&profile=truck1] INFO  c.g.resources.RouteResource - 127.0.0.1 en_US Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36 OPR/120.0.0.0 [49.33,-123.03, 49.25,-122.97], took: 262.2ms, algo: , profile: truck1, alternatives: 1, distance0: 13354.18888089476, weight0: 916.8230766091772, time0: 15min, points0: 200, debugInfo: idLookup:0.0365522s; , algoInit:47378 μs, astarbi|landmarks-routing:59 ms, path extraction: 446 μs, visited nodes sum: 818
2025-07-28 19:26:07.190 [pool-3-thread-17 - GET /route?point=49.33,-123.03&point=49.25,-122.97&instructions=true&type=json&key=&profile=truck1] INFO  c.g.resources.RouteResource - 127.0.0.1 en_US Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36 OPR/120.0.0.0 [49.33,-123.03, 49.25,-122.97], took: 262.2ms, algo: , profile: truck1, alternatives: 1, distance0: 13354.18888089476, weight0: 916.8230766091772, time0: 15min, points0: 200, debugInfo: idLookup:0.0369526s; , algoInit:47374 μs, astarbi|landmarks-routing:59 ms, path extraction: 446 μs, visited nodes sum: 818
2025-07-28 19:26:07.190 [pool-3-thread-15 - POST /route?ch=false] INFO  c.g.resources.RouteResource - 127.0.0.1 en_US Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36 OPR/120.0.0.0 2, took: 200.3 ms, algo: , profile: truck1, custom_model: distanceInfluence=1.0|headingPenalty=null|speedStatements=[{"if": "true", "limit_to: "80"}]|priorityStatements=[{"if": "max_height < 5", "multiply_by: "0"}]|areas=[], alternatives: 1, distance0: 6946.963288034898, weight0: 552.0974044095077, time0: 9min, points0: 117, debugInfo: idLookup:7.521E-4s; , algoInit:47401 μs, astarbi|landmarks-routing:61 ms, path extraction: 459 μs, visited nodes sum: 1226
2025-07-28 19:26:45.692 [pool-3-thread-13 - GET /route?point=49.33,-123.03&point=49.25,-122.97&instructions=true&type=json&key=&profile=truck1] INFO  c.g.resources.RouteResource - 127.0.0.1 en_US Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36 OPR/120.0.0.0 [49.33,-123.03, 49.25,-122.97], took: 17.3ms, algo: , profile: truck1, alternatives: 1, distance0: 13354.18888089476, weight0: 916.8230766091772, time0: 15min, points0: 200, debugInfo: idLookup:8.695E-4s; , algoInit:7064 μs, astarbi|landmarks-routing:6 ms, path extraction: 180 μs, visited nodes sum: 818
2025-07-28 19:26:45.695 [pool-3-thread-7 - POST /route?ch=false] INFO  c.g.resources.RouteResource - 127.0.0.1 en_US Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36 OPR/120.0.0.0 2, took: 20.6 ms, algo: , profile: truck1, custom_model: distanceInfluence=1.0|headingPenalty=null|speedStatements=[{"if": "true", "limit_to: "80"}]|priorityStatements=[{"if": "max_height < 5", "multiply_by: "0"}]|areas=[], alternatives: 1, distance0: 6946.963288034898, weight0: 552.0974044095077, time0: 9min, points0: 117, debugInfo: idLookup:5.514E-4s; , algoInit:7076 μs, astarbi|landmarks-routing:10 ms, path extraction: 142 μs, visited nodes sum: 1226
